date,slug,index_name,group,close,pe,pe_percentile,yoy_eps_growth,valuation_score,growth_score,composite_score,signal
2026-09-18,nifty-dividend-opportunities-50,NIFTY Dividend Opportunities 50,Strategy / Thematic / Other,5639.9,12.8,0.113636363636,0.0613695504873,88.6363636364,44.5478201949,75.4098006039,BUY
2026-09-18,nifty-energy,NIFTY Energy,Sectoral,37773.55,14.65,0.613636363636,0.126164122144,38.6363636364,70.4656488577,48.1851492028,HOLD
2026-09-18,nifty-financial-services,NIFTY Financial Services,Sectoral,25510,15.65,0.0378787878788,0.0665954326142,96.2121212121,46.6381730457,81.3399367622,BUY
2026-09-18,nifty-fmcg,NIFTY FMCG,Sectoral,45466.8,31.54,0.00757575757576,0.0806149067741,99.2424242424,52.2459627096,85.1434857826,BUY
2026-09-18,nifty-growth-sectors-15,NIFTY Growth Sectors 15,Strategy / Thematic / Other,10899.75,26.47,0.0227272727273,0.185941820224,97.7272727273,87.1883640448,94.5656001225,BUY
2026-09-18,nifty-high-beta-50,NIFTY High Beta 50,Strategy / Thematic / Other,4358.55,20.86,0.55303030303,-0.0951322401634,44.696969697,20,37.2878787879,SELL
2026-09-18,nifty-india-consumption,NIFTY India Consumption,Strategy / Thematic / Other,11460.7,37.32,0.0833333333333,0.0488048334537,91.6666666667,39.5219333815,76.0232466811,BUY
2026-09-18,nifty-infrastructure,NIFTY Infrastructure,Strategy / Thematic / Other,9071.3,22.38,0.689393939394,-0.0259768288704,31.0606060606,20,27.7424242424,SELL
2026-09-18,nifty-it,NIFTY IT,Sectoral,28854.55,18.41,0.0227272727273,0.131881959322,97.7272727273,72.7527837286,90.2349260277,BUY
2026-09-18,nifty-largemidcap-250,NIFTY LargeMidcap 250,Broad Market,16385.6,23.35,0.174242424242,0.138831853487,82.5757575758,75.5327413946,80.4628527214,BUY
2026-09-18,nifty-low-volatility-50,NIFTY Low Volatility 50,Strategy / Thematic / Other,23785.4,25.27,0.0833333333333,0.262060518265,91.6666666667,100,94.1666666667,BUY
2026-09-18,nifty-metal,NIFTY Metal,Sectoral,13052.6,15.89,0.371212121212,0.572708449504,62.8787878788,100,74.0151515152,BUY
2026-09-18,nifty-midcap-100,NIFTY Midcap 100,Broad Market,62191.25,29.97,0.477272727273,0.130766731094,52.2727272727,72.3066924376,58.2829168222,HOLD
2026-09-18,nifty-midcap-150,NIFTY Midcap 150,Broad Market,22901.85,28.64,0.401515151515,0.237145092285,59.8484848485,97.429018457,71.122644931,BUY
2026-09-18,nifty-midcap-50,NIFTY Midcap 50,Broad Market,17882.9,35.17,0.689393939394,0.142760179357,31.0606060606,77.1040717428,44.8736457653,HOLD
2026-09-18,nifty-midsmallcap-400,NIFTY Midsmallcap 400,Broad Market,21238.65,30.22,0.462121212121,0.165098754271,53.7878787879,83.0197508541,62.5574404077,HOLD
2026-09-18,nifty-mnc,NIFTY Mnc,Strategy / Thematic / Other,31687.05,34.39,0.130769230769,0.08219057314,86.9230769231,52.876229256,76.709022623,BUY
2026-09-18,nifty-next-50,NIFTY Next 50,Broad Market,72025.4,19.04,0.0530303030303,0.170301862125,94.696969697,84.0603724251,91.5059905154,BUY
2026-09-18,nifty-pharma,NIFTY Pharma,Sectoral,26710.1,41.36,0.962121212121,-0.0631047566657,3.78787878788,20,8.65151515152,SELL
2026-09-18,nifty-private-bank,NIFTY Private Bank,Sectoral,27290,16.99,0.340909090909,0.0774131256887,65.9090909091,50.9652502755,61.425938719,HOLD
2026-09-18,nifty-pse,NIFTY Pse,Strategy / Thematic / Other,9597,10.89,0.613636363636,0.0729521854943,38.6363636364,49.1808741977,41.7997168048,HOLD
2026-09-18,nifty-quality-low-volatility-30,NIFTY Quality Low-Volatility 30,Strategy / Thematic / Other,16068.5,26.18,0.0681818181818,0.0680461435996,93.1818181818,47.2184574398,79.3928099592,BUY
2026-09-18,nifty-realty,NIFTY Realty,Sectoral,844.2,35.85,0.0846153846154,0.129140486143,91.5384615385,71.6561944571,85.5737814141,BUY
2026-09-18,nifty-services-sector,NIFTY Services Sector,Strategy / Thematic / Other,30073.1,18.54,0.0227272727273,0.0389831544512,97.7272727273,35.5932617805,79.0870694432,BUY
2026-09-18,nifty-shariah-25,NIFTY Shariah 25,Strategy / Thematic / Other,7631.1,25.64,0.371212121212,-0.0494735548311,62.8787878788,20,50.0151515152,HOLD
2026-09-18,nifty-smallcap-100,NIFTY Smallcap 100,Broad Market,19875.7,31.48,0.704545454545,0.128667447201,29.5454545455,71.4669788805,42.121911846,HOLD
2026-09-18,nifty-smallcap-250,NIFTY Smallcap 250,Broad Market,18287.4,33.74,0.856060606061,0.0346195290955,14.3939393939,33.8478116382,20.2301010672,SELL
2026-09-18,nifty-smallcap-50,NIFTY Smallcap 50,Broad Market,9956.65,31.87,0.742424242424,0.225829820798,25.7575757576,95.1659641595,46.5800922782,HOLD
2026-09-18,nifty-sme-emerge,NIFTY Sme Emerge,Strategy / Thematic / Other,14965.15,22.82,0.0859375,0.134601009538,91.40625,73.8404038152,86.1364961445,BUY
2026-09-18,nifty100-enhanced-esg,Nifty100 Enhanced ESG,Strategy / Thematic / Other,4898.3,20.64,0.0378787878788,0.0880487136766,96.2121212121,55.2194854706,83.9143304897,BUY
2026-09-18,nifty100-equal-weight,Nifty100 Equal Weight,Strategy / Thematic / Other,33968,20.45,0.143939393939,0.158184044863,85.6060606061,81.6368089727,84.415285116,BUY
2026-09-18,nifty100-esg,Nifty100 ESG,Strategy / Thematic / Other,4866.15,20.66,0.0378787878788,0.0747085131978,96.2121212121,49.8834052791,82.3135064322,BUY
2026-09-18,nifty100-low-volatility-30,Nifty100 Low Volatility 30,Strategy / Thematic / Other,19359.85,23.9,0.189393939394,0.239481527511,81.0606060606,97.8963055022,86.1113158931,BUY
2026-09-18,nifty100-quality-30,Nifty100 Quality 30,Strategy / Thematic / Other,5444.35,26.22,0.0681818181818,0.0789807970964,93.1818181818,51.5923188385,80.7049683788,BUY
2026-09-18,nifty200-quality-30,Nifty200 Quality 30,Strategy / Thematic / Other,19561.45,26.51,0.113636363636,0.0134742378938,88.6363636364,25.3896951575,69.6623630927,HOLD
2026-09-18,nifty50-equal-weight,Nifty50 Equal Weight,Strategy / Thematic / Other,31943.2,23.33,0.674242424242,0.0256798438713,32.5757575758,30.2719375485,31.8846115676,SELL
2026-09-18,nifty50-shariah,Nifty50 Shariah,Strategy / Thematic / Other,4069.15,22.59,0.159090909091,-0.0832634608035,84.0909090909,20,64.8636363636,HOLD
2026-09-18,nifty50-value-20,Nifty50 Value 20,Strategy / Thematic / Other,11450.55,14.25,0.00757575757576,0.0614753098649,99.2424242424,44.590123946,82.8467341535,BUY
2026-09-18,nifty500-shariah,Nifty500 Shariah,Strategy / Thematic / Other,6817.85,27.5,0.295454545455,0.00334184088583,70.4545454545,21.3367363543,55.7192027245,HOLD
2026-09-21,nifty-100,NIFTY 100,Broad Market,24560.35,19.65,0.0378787878788,0.0627925178774,96.2121212121,45.117007151,80.8835869938,BUY
2026-09-21,nifty-200,NIFTY 200,Broad Market,13655.8,21.12,0.0757575757576,0.0660153891319,92.4242424242,46.4061556528,78.6188163928,BUY
2026-09-21,nifty-50,NIFTY 50,Broad Market,23414.3,19.79,0.0530303030303,0.0393954034603,94.696969697,35.7581613841,77.0153272031,BUY
2026-09-21,nifty-500,NIFTY 500,Broad Market,22860.05,22.15,0.174242424242,0.0792218560124,82.5757575758,51.688742405,73.3096530245,BUY
2026-09-21,nifty-alpha-50,NIFTY Alpha 50,Strategy / Thematic / Other,55808.95,23.32,0.1953125,1.0596215628,80.46875,100,86.328125,BUY
2026-09-21,nifty-alpha-low-volatility-30,NIFTY Alpha Low-Volatility 30,Strategy / Thematic / Other,26224.3,25.2,0.280303030303,0.292292118005,71.9696969697,100,80.3787878788,BUY
2026-09-21,nifty-alpha-quality-low-volatility-30,NIFTY Alpha Quality Low-Volatility 30,Strategy / Thematic / Other,22277.35,28.82,0.280303030303,0.268780256322,71.9696969697,100,80.3787878788,BUY
2026-09-21,nifty-alpha-quality-value-low-volatility-30,NIFTY Alpha Quality Value Low-Volatility 30,Strategy / Thematic / Other,19627.15,16.24,0.0984848484848,0.421073031203,90.1515151515,100,93.1060606061,BUY
2026-09-21,nifty-auto,NIFTY Auto,Sectoral,27151.1,31.55,0.583333333333,-0.116648549668,41.6666666667,20,35.1666666667,SELL
2026-09-21,nifty-bank,NIFTY Bank,Sectoral,56470.65,13.36,0.0530303030303,0.151621947711,94.696969697,80.3243895421,90.3851956505,BUY
2026-09-21,nifty-commodities,NIFTY Commodities,Strategy / Thematic / Other,9543.65,14.79,0.44696969697,0.235870885948,55.303030303,97.1741771895,67.864374369,HOLD
2026-09-21,nifty-cpse,NIFTY Cpse,Strategy / Thematic / Other,6354.05,12.23,0.537878787879,0.0925951917509,46.2121212121,57.0380767004,49.4599078586,HOLD
2026-09-21,nifty-dividend-opportunities-50,NIFTY Dividend Opportunities 50,Strategy / Thematic / Other,5644.75,12.82,0.113636363636,0.0609484544246,88.6363636364,44.3793817699,75.3592690764,BUY
2026-09-21,nifty-energy,NIFTY Energy,Sectoral,37818.55,14.67,0.613636363636,0.1265004657,38.6363636364,70.6001862802,48.2255104295,HOLD
2026-09-21,nifty-financial-services,NIFTY Financial Services,Sectoral,25524.7,15.65,0.0378787878788,0.0673283987496,96.2121212121,46.9313594999,81.4278926984,BUY
2026-09-21,nifty-fmcg,NIFTY FMCG,Sectoral,45900.9,31.84,0.00757575757576,0.0805733758976,99.2424242424,52.229350359,85.1385020774,BUY
2026-09-21,nifty-growth-sectors-15,NIFTY Growth Sectors 15,Strategy / Thematic / Other,10942.1,26.58,0.0227272727273,0.185338576013,97.7272727273,87.0677152025,94.5294054699,BUY
2026-09-21,nifty-high-beta-50,NIFTY High Beta 50,Strategy / Thematic / Other,4340.45,20.77,0.537878787879,-0.0951141603485,46.2121212121,20,38.3484848485,SELL
2026-09-21,nifty-india-consumption,NIFTY India Consumption,Strategy / Thematic / Other,11509.3,37.48,0.0984848484848,0.0486741170237,90.1515151515,39.4696468095,74.9469546489,BUY
2026-09-21,nifty-infrastructure,NIFTY Infrastructure,Strategy / Thematic / Other,9058.2,22.35,0.689393939394,-0.0264298971038,31.0606060606,20,27.7424242424,SELL
2026-09-21,nifty-it,NIFTY IT,Sectoral,28830.9,18.39,0.0227272727273,0.131936196718,97.7272727273,72.7744786872,90.2414345153,BUY
2026-09-21,nifty-largemidcap-250,NIFTY LargeMidcap 250,Broad Market,16374.9,23.34,0.174242424242,0.138476739779,82.5757575758,75.3906959116,80.4202390765,BUY
2026-09-21,nifty-low-volatility-50,NIFTY Low Volatility 50,Strategy / Thematic / Other,23881.2,25.38,0.113636363636,0.261509217697,88.6363636364,100,92.0454545455,BUY
2026-09-21,nifty-metal,NIFTY Metal,Sectoral,12972.7,15.79,0.371212121212,0.57244329122,62.8787878788,100,74.0151515152,BUY
2026-09-21,nifty-midcap-100,NIFTY Midcap 100,Broad Market,62013.1,29.89,0.477272727273,0.130491857493,52.2727272727,72.1967429971,58.24993199,HOLD
2026-09-21,nifty-midcap-150,NIFTY Midcap 150,Broad Market,22816.8,28.53,0.401515151515,0.23720125669,59.8484848485,97.4402513381,71.1260147954,BUY
2026-09-21,nifty-midcap-50,NIFTY Midcap 50,Broad Market,17879.65,35.16,0.689393939394,0.143066575201,31.0606060606,77.2266300803,44.9104132665,HOLD
2026-09-21,nifty-midsmallcap-400,NIFTY Midsmallcap 400,Broad Market,21183.7,30.14,0.462121212121,0.165224087039,53.7878787879,83.0448174079,62.5649603739,HOLD
2026-09-21,nifty-mnc,NIFTY Mnc,Strategy / Thematic / Other,31562.65,34.25,0.115384615385,0.0822029776722,88.4615384615,52.8811910689,77.7874342437,BUY
2026-09-21,nifty-next-50,NIFTY Next 50,Broad Market,72083.95,19.06,0.0530303030303,0.169782327519,94.696969697,83.9564655039,91.474818439,BUY
2026-09-21,nifty-pharma,NIFTY Pharma,Sectoral,27021.15,41.84,0.962121212121,-0.0631487923886,3.78787878788,20,8.65151515152,SELL
2026-09-21,nifty-private-bank,NIFTY Private Bank,Sectoral,27370.1,17.04,0.356060606061,0.0772729846848,64.3939393939,50.9091938739,60.3485157379,HOLD
2026-09-21,nifty-pse,NIFTY Pse,Strategy / Thematic / Other,9604,10.9,0.613636363636,0.0730490359553,38.6363636364,49.2196143821,41.8113388601,HOLD
2026-09-21,nifty-quality-low-volatility-30,NIFTY Quality Low-Volatility 30,Strategy / Thematic / Other,16175.2,26.35,0.0681818181818,0.0681041161721,93.1818181818,47.2416464688,79.3997666679,BUY
2026-09-21,nifty-realty,NIFTY Realty,Sectoral,853.85,36.26,0.0846153846154,0.129334416569,91.5384615385,71.7337666274,85.5970530651,BUY
2026-09-21,nifty-services-sector,NIFTY Services Sector,Strategy / Thematic / Other,30061.5,18.54,0.0227272727273,0.0386961256648,97.7272727273,35.4784502659,79.0526259889,BUY
2026-09-21,nifty-shariah-25,NIFTY Shariah 25,Strategy / Thematic / Other,7688.4,25.83,0.386363636364,-0.0493981554823,61.3636363636,20,48.9545454545,HOLD
2026-09-21,nifty-smallcap-100,NIFTY Smallcap 100,Broad Market,19861.5,31.46,0.704545454545,0.128600657576,29.5454545455,71.4402630306,42.113897091,HOLD
2026-09-21,nifty-smallcap-250,NIFTY Smallcap 250,Broad Market,18279.05,33.73,0.856060606061,0.0342590076112,14.3939393939,33.7036030445,20.1868384891,SELL
2026-09-21,nifty-smallcap-50,NIFTY Smallcap 50,Broad Market,9948.15,31.85,0.734848484848,0.225578775388,26.5151515152,95.1157550775,47.0953325839,HOLD
2026-09-21,nifty-sme-emerge,NIFTY Sme Emerge,Strategy / Thematic / Other,14910.1,22.73,0.0859375,0.134835015093,91.40625,73.9340060372,86.1645768112,BUY
2026-09-21,nifty100-enhanced-esg,Nifty100 Enhanced ESG,Strategy / Thematic / Other,4896.6,20.63,0.0378787878788,0.0882277302565,96.2121212121,55.2910921026,83.9358124793,BUY
2026-09-21,nifty100-equal-weight,Nifty100 Equal Weight,Strategy / Thematic / Other,34009.2,20.48,0.151515151515,0.158097069287,84.8484848485,81.6194138573,83.8797635511,BUY
2026-09-21,nifty100-esg,Nifty100 ESG,Strategy / Thematic / Other,4864.6,20.65,0.0378787878788,0.0749006644917,96.2121212121,49.9602657967,82.3365645875,BUY
2026-09-21,nifty100-low-volatility-30,Nifty100 Low Volatility 30,Strategy / Thematic / Other,19461.2,24.03,0.189393939394,0.239037672167,81.0606060606,97.8075344335,86.0846845725,BUY
2026-09-21,nifty100-quality-30,Nifty100 Quality 30,Strategy / Thematic / Other,5478.9,26.39,0.0681818181818,0.0790204928923,93.1818181818,51.6081971569,80.7097318743,BUY
2026-09-21,nifty200-quality-30,Nifty200 Quality 30,Strategy / Thematic / Other,19649.4,26.63,0.128787878788,0.0134502614103,87.1212121212,25.3801045641,68.5988798541,HOLD
2026-09-21,nifty50-equal-weight,Nifty50 Equal Weight,Strategy / Thematic / Other,32027.45,23.39,0.674242424242,0.0259367212238,32.5757575758,30.3746884895,31.9154368499,SELL
2026-09-21,nifty50-shariah,Nifty50 Shariah,Strategy / Thematic / Other,4088.05,22.69,0.159090909091,-0.0833709193454,84.0909090909,20,64.8636363636,HOLD
2026-09-21,nifty50-value-20,Nifty50 Value 20,Strategy / Thematic / Other,11510.2,14.32,0.00757575757576,0.061686185406,99.2424242424,44.6744741624,82.8720392184,BUY
2026-09-21,nifty500-shariah,Nifty500 Shariah,Strategy / Thematic / Other,6832.35,27.56,0.295454545455,0.00327115564762,70.4545454545,21.308462259,55.7107204959,HOLD
